Name,Matches,Overall Average,Overall Strike Rate,Early Overs Runs,Early Overs Balls Faced,Early Overs Average,Early Overs Strike Rate,Middle Overs Runs,Middle Overs Balls Faced,Middle Overs Average,Middle Overs Strike Rate,Death Overs Runs,Death Overs Balls Faced,Death Overs Average,Death Overs Strike Rate
Nathan Lyon,40,40.98,126.86,566,427,14.15,132.55,729,273,18.23,267.03,344,592,8.6,58.11
Quinton de Kock,39,40.92,149.16,569,360,14.59,158.06,560,513,14.36,109.16,467,197,11.97,237.06
Heinrich Klaasen,16,87.38,202.61,329,209,20.56,157.42,541,121,33.81,447.11,528,360,33.0,146.67
Ishan Kishan,22,43.64,158.94,391,285,17.77,137.19,347,87,15.77,398.85,222,232,10.09,95.69
Matthew Hayden,43,20.53,86.57,618,531,14.37,116.38,144,97,3.35,148.45,121,392,2.81,30.87
Fakhar Zaman,35,49.29,217.25,489,385,13.97,127.01,664,211,18.97,314.69,572,198,16.34,288.89
Rinku Singh,43,27.28,104.73,697,459,16.21,151.85,206,385,4.79,53.51,270,276,6.28,97.83
Aaron Finch,18,79.44,164.94,165,505,9.17,32.67,492,191,27.33,257.59,773,171,42.94,452.05
Mahela Jayawardene,23,80.96,155.95,683,331,29.7,206.34,406,295,17.65,137.63,773,568,33.61,136.09
Aiden Markram,31,48.29,182.12,220,339,7.1,64.9,503,128,16.23,392.97,774,355,24.97,218.03
Hardik Pandya,43,37.7,199.38,485,167,11.28,290.42,364,465,8.47,78.28,772,181,17.95,426.52
Wasim Akram,44,18.73,70.07,136,324,3.09,41.98,122,525,2.77,23.24,566,327,12.86,173.09
David Miller,16,56.81,64.19,459,558,28.69,82.26,263,436,16.44,60.32,187,422,11.69,44.31
Dale Steyn,43,20.05,80.71,140,205,3.26,68.29,610,580,14.19,105.17,112,283,2.6,39.58
Lasith Malinga,10,89.3,74.6,290,412,29.0,70.39,167,464,16.7,35.99,436,321,43.6,135.83
David Warner,40,54.52,346.74,691,91,17.27,759.34,710,191,17.75,371.73,780,347,19.5,224.78
Suryakumar Yadav,11,198.0,313.83,795,289,72.27,275.09,586,156,53.27,375.64,797,249,72.45,320.08
Michael Vaughan,45,30.67,139.25,258,346,5.73,74.57,526,182,11.69,289.01,596,463,13.24,128.73
Shubman Gill,32,42.19,128.94,268,449,8.38,59.69,356,262,11.12,135.88,726,336,22.69,216.07
Kevin Pietersen,38,27.66,78.79,213,266,5.61,80.08,457,572,12.03,79.9,381,496,10.03,76.81
KL Rahul,35,51.46,143.74,769,323,21.97,238.08,566,393,16.17,144.02,466,537,13.31,86.78
James Anderson,12,121.17,121.47,698,367,58.17,190.19,519,304,43.25,170.72,237,526,19.75,45.06
Waqar Younis,33,35.76,100.68,557,121,16.88,460.33,521,583,15.79,89.37,102,468,3.09,21.79
Ruturaj Gaikwad,18,67.56,81.72,465,571,25.83,81.44,374,586,20.78,63.82,377,331,20.94,113.9
Brian Lara,40,29.98,121.85,333,536,8.32,62.13,347,194,8.68,178.87,519,254,12.97,204.33
Mohammed Shami,32,63.0,132.98,481,526,15.03,91.44,735,574,22.97,128.05,800,416,25.0,192.31
Harbhajan Singh,47,23.49,178.64,354,364,7.53,97.25,102,83,2.17,122.89,648,171,13.79,378.95
