Name,Early Overs Average,Early Overs Strike Rate,Middle Overs Average,Middle Overs Strike Rate,Death Overs Average,Death Overs Strike Rate
James Anderson,6.89,96.19,13.3,125.81,15.43,118.29
Tilak Varma,13.17,161.17,12.46,108.11,16.43,166.15
Sachin Tendulkar,29.4,138.68,23.87,130.18,20.07,112.31
Andrew Flintoff,13.51,141.64,14.46,132.75,12.49,97.26
Adam Gilchrist,13.15,138.92,9.17,133.33,10.73,96.7
Graeme Smith,18.06,102.05,11.09,115.82,12.0,112.82
Ben Stokes,15.75,168.9,10.95,128.07,8.15,144.25
Shardul Thakur,21.52,116.47,20.74,139.47,31.48,131.16
Jonny Bairstow,40.67,133.58,44.28,154.16,31.44,98.95
VVS Laxman,22.87,148.59,9.96,91.24,4.43,107.37
Ravindra Jadeja,38.55,150.35,44.55,158.06,33.45,121.45
Suryakumar Yadav,6.17,112.12,8.92,169.84,23.04,126.83
Inzamam-ul-Haq,12.81,160.08,12.58,113.37,22.48,154.89
David Hussey,22.11,93.21,31.33,102.92,30.56,94.18
Yashasvi Jaiswal,25.11,123.27,16.52,96.33,13.48,108.66
AB de Villiers,29.83,150.84,21.56,113.12,33.33,111.52
Dale Steyn,15.48,143.81,37.81,133.67,27.95,125.97
Malcolm Marshall,26.71,97.01,31.76,96.6,32.35,95.99
Harbhajan Singh,26.39,125.47,20.25,142.46,12.46,134.75
Dale Steyn,33.12,90.44,39.38,123.53,36.12,102.66
Anil Kumble,17.14,94.49,36.86,140.22,17.71,101.22
Rinku Singh,37.87,108.6,38.27,128.99,36.33,126.74
VVS Laxman,25.5,130.43,23.55,126.95,19.8,99.25
Brian Lara,25.86,142.59,22.24,136.36,13.97,92.05
Mitchell Starc,6.44,102.45,14.31,133.81,14.38,150.81
Stuart Broad,17.11,138.66,11.97,124.7,21.63,141.76
Babar Azam,23.73,121.92,40.6,138.72,45.07,118.18
Yuvraj Singh,7.33,163.51,20.48,150.22,5.06,136.89
Alastair Cook,19.42,103.27,11.77,126.97,12.42,92.02
Allan Donald,8.2,134.87,28.08,169.98,15.92,159.84
Yuvraj Singh,12.59,93.58,14.82,150.93,11.23,112.53
Justin Langer,12.85,106.77,16.89,144.3,11.93,116.67
Sachin Tendulkar,23.06,155.7,12.12,109.92,15.53,157.78
Travis Head,9.02,140.15,13.73,137.32,7.66,90.23
Sourav Ganguly,27.24,108.13,25.48,105.73,13.19,112.6
Hashim Amla,18.62,157.67,8.5,137.37,27.88,156.49
Ricky Ponting,19.5,102.99,23.03,116.53,8.0,122.45
Trent Boult,7.94,158.01,4.33,111.43,16.86,111.79
Nicholas Pooran,20.76,164.95,21.56,152.07,13.59,148.08
Anil Kumble,12.27,130.75,4.91,93.91,15.75,123.09
Tim Southee,10.57,153.1,11.43,91.95,18.19,130.82
